ID,Label,Count
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
house_housingitem_fishing_veryrarefish_c1,Taxidermied Daemonaja,1
house_housingitem_buff_fishing_bonus_t2,Basic Fishing Gathering Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
mercurialtokent1,Mercurial Token,1
house_housingitem_buff_harvesting_bonus_t2,Basic Harvesting Gathering Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
pureresint1,Pure Resin,1
house_housingitem_buff_logging_bonus_t2,Basic Logging Gathering Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
loadeddicet1,Loaded Dice,1
house_housingitem_buff_luck_bonus_t2,Basic Loot Luck Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
ephemeralsealt1,Ephemeral Seal,1
house_housingitem_buff_damage_vs_lost_t2,Basic Lost Combat Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
chefssecretcookbookt1,Chef's Secret Cookbook,1
house_housingitem_buff_cooking_bonus_t2,Basic Cooking Crafting Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
corruptedtotemt1,Corrupted Totem,1
house_housingitem_buff_damage_vs_corrupted_t2,Basic Corrupted Combat Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
precisionengineeringtoolst1,Precision Engineering Tools,1
house_housingitem_buff_engineering_bonus_t2,Basic Engineering Crafting Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
adamatinedustt1,Adamantine Dust,1
house_housingitem_buff_mining_bonus_t2,Basic Mining Gathering Trophy,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
trackerssealt1,Tracker's Seal,1
house_housingitem_buff_skinning_bonus_t2,Basic Skinning Gathering Trophy,1
leathert51,Runic Leather,1
clotht51,Phoenixweave,1
ingott51,Asmodeum,1
clawt5,Infused Claw,1
voidbentingot,Voidbent Ingot,1
fangt4,Infused Fang,1
scarhidet1,Scarhide,1
timbert5,Ironwood Planks,1
ingott5,Orichalcum Ingot,1
woodstaint5,Mahogany Stain,1
precisionarmoringtoolst1,Precision Armoring Tools,1
house_housingitem_buff_outfitting_bonus_t2,Basic Armoring Crafting Trophy,1
ingott51,Asmodeum,1
leathert51,Runic Leather,1
clotht51,Phoenixweave,1
furt5,Infused Fur,1
voidbentingot,Voidbent Ingot,1
tolviumt1,Tolvium,1
cinnabart1,Cinnabar,1
leathert51,Runic Leather,1
clotht51,Phoenixweave,1
ingott51,Asmodeum,1
clawt5,Infused Claw,1
voidbentingot,Voidbent Ingot,1
fangt4,Infused Fang,1
scarhidet1,Scarhide,1
ingott51,Asmodeum,1
ingott51,Asmodeum,1
ingott51,Asmodeum,1
leathert51,Runic Leather,1
timbert51,Glittering Ebony,1
etchedhandguardt5,Etched Handguard,1
tolviumt1,Tolvium,1
scarhidet1,Scarhide,1
ingott51,Asmodeum,1
leathert51,Runic Leather,1
timbert51,Glittering Ebony,1
empoweredcounterbalancet5,Empowered Counterbalance,1
scalingpowdert1,Scaling Powder,1
tolviumt1,Tolvium,1
scarhidet1,Scarhide,1
ingott51,Asmodeum,1
leathert51,Runic Leather,1
timbert51,Glittering Ebony,1
empoweredcounterbalancet5,Empowered Counterbalance,1
ancientbearingt1,Ancient Bearing,1
tolviumt1,Tolvium,1
scarhidet1,Scarhide,1
ingott51,Asmodeum,1
leathert51,Runic Leather,1
timbert51,Glittering Ebony,1
etchedhandguardt5,Etched Handguard,1
serpentinehandguardt1,Serpentine Handguard,1
cinnabart1,Cinnabar,1
smolderhidet1,Smolderhide,1
ingott51,Asmodeum,1
timbert51,Glittering Ebony,1
leathert51,Runic Leather,1
ingotprecioust3,Platinum Ingot,1
emblemoffortitudet1,Emblem of Fortitude,1
brightscalehidet1,Brightscale Hide,1
smolderhidet1,Smolderhide,1
timbert5,Ironwood Planks,1
