Source,Target,Weight
timbert5,house_housingitem_buff_fishing_bonus_t3,25
ingott5,house_housingitem_buff_fishing_bonus_t3,20
woodstaint5,house_housingitem_buff_fishing_bonus_t3,1
house_housingitem_fishing_veryrarefish_c1,house_housingitem_buff_fishing_bonus_t3,1
house_housingitem_buff_fishing_bonus_t2,house_housingitem_buff_fishing_bonus_t3,1
timbert5,house_housingitem_buff_harvesting_bonus_t3,25
ingott5,house_housingitem_buff_harvesting_bonus_t3,20
woodstaint5,house_housingitem_buff_harvesting_bonus_t3,1
mercurialtokent1,house_housingitem_buff_harvesting_bonus_t3,1
house_housingitem_buff_harvesting_bonus_t2,house_housingitem_buff_harvesting_bonus_t3,1
timbert5,house_housingitem_buff_logging_bonus_t3,25
ingott5,house_housingitem_buff_logging_bonus_t3,20
woodstaint5,house_housingitem_buff_logging_bonus_t3,1
pureresint1,house_housingitem_buff_logging_bonus_t3,1
house_housingitem_buff_logging_bonus_t2,house_housingitem_buff_logging_bonus_t3,1
timbert5,house_housingitem_buff_luck_bonus_t3,25
ingott5,house_housingitem_buff_luck_bonus_t3,20
woodstaint5,house_housingitem_buff_luck_bonus_t3,1
loadeddicet1,house_housingitem_buff_luck_bonus_t3,1
house_housingitem_buff_luck_bonus_t2,house_housingitem_buff_luck_bonus_t3,1
timbert5,house_housingitem_buff_damage_vs_lost_t3,25
ingott5,house_housingitem_buff_damage_vs_lost_t3,20
woodstaint5,house_housingitem_buff_damage_vs_lost_t3,1
ephemeralsealt1,house_housingitem_buff_damage_vs_lost_t3,1
house_housingitem_buff_damage_vs_lost_t2,house_housingitem_buff_damage_vs_lost_t3,1
timbert5,house_housingitem_buff_cooking_bonus_t3,25
ingott5,house_housingitem_buff_cooking_bonus_t3,20
woodstaint5,house_housingitem_buff_cooking_bonus_t3,1
chefssecretcookbookt1,house_housingitem_buff_cooking_bonus_t3,1
house_housingitem_buff_cooking_bonus_t2,house_housingitem_buff_cooking_bonus_t3,1
timbert5,house_housingitem_buff_damage_vs_corrupted_t3,25
ingott5,house_housingitem_buff_damage_vs_corrupted_t3,20
woodstaint5,house_housingitem_buff_damage_vs_corrupted_t3,1
corruptedtotemt1,house_housingitem_buff_damage_vs_corrupted_t3,1
house_housingitem_buff_damage_vs_corrupted_t2,house_housingitem_buff_damage_vs_corrupted_t3,1
timbert5,house_housingitem_buff_engineering_bonus_t3,25
ingott5,house_housingitem_buff_engineering_bonus_t3,20
woodstaint5,house_housingitem_buff_engineering_bonus_t3,1
precisionengineeringtoolst1,house_housingitem_buff_engineering_bonus_t3,1
house_housingitem_buff_engineering_bonus_t2,house_housingitem_buff_engineering_bonus_t3,1
timbert5,house_housingitem_buff_mining_bonus_t3,25
ingott5,house_housingitem_buff_mining_bonus_t3,20
woodstaint5,house_housingitem_buff_mining_bonus_t3,1
adamatinedustt1,house_housingitem_buff_mining_bonus_t3,1
house_housingitem_buff_mining_bonus_t2,house_housingitem_buff_mining_bonus_t3,1
timbert5,house_housingitem_buff_skinning_bonus_t3,25
ingott5,house_housingitem_buff_skinning_bonus_t3,20
woodstaint5,house_housingitem_buff_skinning_bonus_t3,1
trackerssealt1,house_housingitem_buff_skinning_bonus_t3,1
house_housingitem_buff_skinning_bonus_t2,house_housingitem_buff_skinning_bonus_t3,1
leathert51,mediumhead_voidbentt5,12
clotht51,mediumhead_voidbentt5,4
ingott51,mediumhead_voidbentt5,1
clawt5,mediumhead_voidbentt5,2
voidbentingot,mediumhead_voidbentt5,1
fangt4,mediumhead_voidbentt5,4
scarhidet1,mediumhead_voidbentt5,2
timbert5,house_housingitem_buff_outfitting_bonus_t3,25
ingott5,house_housingitem_buff_outfitting_bonus_t3,20
woodstaint5,house_housingitem_buff_outfitting_bonus_t3,1
precisionarmoringtoolst1,house_housingitem_buff_outfitting_bonus_t3,1
house_housingitem_buff_outfitting_bonus_t2,house_housingitem_buff_outfitting_bonus_t3,1
ingott51,heavyfeet_voidbentt5,6
leathert51,heavyfeet_voidbentt5,2
clotht51,heavyfeet_voidbentt5,1
furt5,heavyfeet_voidbentt5,2
voidbentingot,heavyfeet_voidbentt5,1
tolviumt1,heavyfeet_voidbentt5,4
cinnabart1,heavyfeet_voidbentt5,2
leathert51,mediumchest_voidbentt5,26
clotht51,mediumchest_voidbentt5,8
ingott51,mediumchest_voidbentt5,1
clawt5,mediumchest_voidbentt5,2
voidbentingot,mediumchest_voidbentt5,1
fangt4,mediumchest_voidbentt5,4
scarhidet1,mediumchest_voidbentt5,2
ingott51,trinket_chaint51,8
ingott51,trinket_settingt51,4
ingott51,1hlongsword_voidforgedharbingert5,14
leathert51,1hlongsword_voidforgedharbingert5,8
timbert51,1hlongsword_voidforgedharbingert5,3
etchedhandguardt5,1hlongsword_voidforgedharbingert5,1
tolviumt1,1hlongsword_voidforgedharbingert5,4
scarhidet1,1hlongsword_voidforgedharbingert5,2
ingott51,2hwarhammer_yulkithirt5,20
leathert51,2hwarhammer_yulkithirt5,15
timbert51,2hwarhammer_yulkithirt5,5
empoweredcounterbalancet5,2hwarhammer_yulkithirt5,1
scalingpowdert1,2hwarhammer_yulkithirt5,1
tolviumt1,2hwarhammer_yulkithirt5,4
scarhidet1,2hwarhammer_yulkithirt5,2
ingott51,2hgreataxe_darkskyt5,20
leathert51,2hgreataxe_darkskyt5,15
timbert51,2hgreataxe_darkskyt5,5
empoweredcounterbalancet5,2hgreataxe_darkskyt5,1
ancientbearingt1,2hgreataxe_darkskyt5,1
tolviumt1,2hgreataxe_darkskyt5,4
scarhidet1,2hgreataxe_darkskyt5,2
ingott51,1hrapier_voidbringersrapiert5,14
leathert51,1hrapier_voidbringersrapiert5,8
timbert51,1hrapier_voidbringersrapiert5,3
etchedhandguardt5,1hrapier_voidbringersrapiert5,1
serpentinehandguardt1,1hrapier_voidbringersrapiert5,1
cinnabart1,1hrapier_voidbringersrapiert5,4
smolderhidet1,1hrapier_voidbringersrapiert5,2
ingott51,1hroundshield_heroesshieldt5,14
timbert51,1hroundshield_heroesshieldt5,8
leathert51,1hroundshield_heroesshieldt5,3
ingotprecioust3,1hroundshield_heroesshieldt5,1
emblemoffortitudet1,1hroundshield_heroesshieldt5,1
brightscalehidet1,1hroundshield_heroesshieldt5,4
smolderhidet1,1hroundshield_heroesshieldt5,2
timbert5,house_housingitem_buff_damage_vs_angryearth_t3,25
ingott5,house_housingitem_buff_damage_vs_angryearth_t3,20
woodstaint5,house_housingitem_buff_damage_vs_angryearth_t3,1
glowingsapt1,house_housingitem_buff_damage_vs_angryearth_t3,1
house_housingitem_buff_damage_vs_angryearth_t2,house_housingitem_buff_damage_vs_angryearth_t3,1
ingott51,1hkiteshield_heroicshieldt5,14
timbert51,1hkiteshield_heroicshieldt5,8
leathert51,1hkiteshield_heroicshieldt5,3
ingotprecioust3,1hkiteshield_heroicshieldt5,1
crestoffortitudet1,1hkiteshield_heroicshieldt5,1
brightscalehidet1,1hkiteshield_heroicshieldt5,4
smolderhidet1,1hkiteshield_heroicshieldt5,2
ingott51,2hspear_soulforgedspeart5,20
timbert51,2hspear_soulforgedspeart5,15
leathert51,2hspear_soulforgedspeart5,5
embossedwrappingt5,2hspear_soulforgedspeart5,1
witheredbought1,2hspear_soulforgedspeart5,1
tolviumt1,2hspear_soulforgedspeart5,4
smolderhidet1,2hspear_soulforgedspeart5,2
timbert51,2hbow_warpwoodt5,20
clotht51,2hbow_warpwoodt5,15
leathert51,2hbow_warpwoodt5,5
enchantedbowstringt5,2hbow_warpwoodt5,1
splinteredbowt1,2hbow_warpwoodt5,1
wildwoodt1,2hbow_warpwoodt5,4
blisterweavet1,2hbow_warpwoodt5,2
ingott51,2hmusket_musketofunseenpowert5,20
timbert51,2hmusket_musketofunseenpowert5,15
leathert51,2hmusket_musketofunseenpowert5,5
intricatelockt5,2hmusket_musketofunseenpowert5,1
fragmentedmuskett1,2hmusket_musketofunseenpowert5,1
tolviumt1,2hmusket_musketofunseenpowert5,4
smolderhidet1,2hmusket_musketofunseenpowert5,2
timbert5,house_housingitem_buff_damage_vs_beasts_t3,25
ingott5,house_housingitem_buff_damage_vs_beasts_t3,20
woodstaint5,house_housingitem_buff_damage_vs_beasts_t3,1
pristinebearclawt1,house_housingitem_buff_damage_vs_beasts_t3,1
house_housingitem_buff_damage_vs_beasts_t2,house_housingitem_buff_damage_vs_beasts_t3,1
ingott51,1hthrowingaxe_axeoftheabysst5,14
leathert51,1hthrowingaxe_axeoftheabysst5,8
timbert51,1hthrowingaxe_axeoftheabysst5,3
embossedwrappingt5,1hthrowingaxe_axeoftheabysst5,1
brokenhatchett1,1hthrowingaxe_axeoftheabysst5,1
smolderhidet1,1hthrowingaxe_axeoftheabysst5,2
Tier 5 Metals,heavyfeet_furlinedt5,6
Leathers,heavyfeet_furlinedt5,2
Cloth,heavyfeet_furlinedt5,1
Tier 5 Leather,mediumfeet_beasthuntert5,6
Cloth,mediumfeet_beasthuntert5,2
Metals,mediumfeet_beasthuntert5,1
Tier 5 Cloth,lightfeet_shadewalkert5,6
Leathers,lightfeet_shadewalkert5,2
Metals,lightfeet_shadewalkert5,1
ingott51,heavyhead_voidbentt5,10
leathert51,heavyhead_voidbentt5,4
clotht51,heavyhead_voidbentt5,4
furt5,heavyhead_voidbentt5,2
voidbentingot,heavyhead_voidbentt5,1
tolviumt1,heavyhead_voidbentt5,4
cinnabart1,heavyhead_voidbentt5,2
ingott51,heavychest_voidbentt5,20
leathert51,heavychest_voidbentt5,8
clotht51,heavychest_voidbentt5,7
furt5,heavychest_voidbentt5,2
voidbentingot,heavychest_voidbentt5,1
tolviumt1,heavychest_voidbentt5,4
cinnabart1,heavychest_voidbentt5,2
timbert5,house_housingitem_buff_damage_vs_ancients_t3,25
ingott5,house_housingitem_buff_damage_vs_ancients_t3,20
woodstaint5,house_housingitem_buff_damage_vs_ancients_t3,1
ancientmandiblet1,house_housingitem_buff_damage_vs_ancients_t3,1
house_housingitem_buff_damage_vs_ancients_t2,house_housingitem_buff_damage_vs_ancients_t3,1
ingott51,heavyhands_voidbentt5,6
leathert51,heavyhands_voidbentt5,2
clotht51,heavyhands_voidbentt5,1
furt5,heavyhands_voidbentt5,2
voidbentingot,heavyhands_voidbentt5,1
tolviumt1,heavyhands_voidbentt5,4
