Source,Target,Quantity,Tradeskill,Rarity,Station,ItemType,Category,Value
workorder_workrationst5,workrationst5,1,Cooking,0,Kitchen Tier 5,Resource,Work Orders,243
workorder_workrationst4,workrationst4,1,Cooking,0,Kitchen Tier 4,Resource,Work Orders,81
workorder_workrationst3,workrationst3,1,Cooking,0,Kitchen Tier 3,Resource,Work Orders,27
workorder_workrationst2,workrationst2,1,Cooking,0,Kitchen Tier 2,Resource,Work Orders,9
reagentconvertert5,tannint5,2,Weaving,2,Loom Tier 5,Resource,Material Conversion,486
reagentconvertert5,solventt5,2,Weaving,2,Loom Tier 5,Resource,Material Conversion,486
reagentconvertert5,sandpapert5,2,Weaving,2,Loom Tier 5,Resource,Material Conversion,486
reagentconvertert5,fluxt5,2,Weaving,2,Loom Tier 5,Resource,Material Conversion,486
reagentconvertert5,clothweavet5,2,Weaving,2,Loom Tier 5,Resource,Material Conversion,486
Refining Materials Tier 5,tannint5,1,Weaving,2,Loom Tier 5,Resource,Material Conversion,243
Refining Materials Tier 5,solventt5,1,Weaving,2,Loom Tier 5,Resource,Material Conversion,243
Refining Materials Tier 5,sandpapert5,1,Weaving,2,Loom Tier 5,Resource,Material Conversion,243
Refining Materials Tier 5,fluxt5,1,Weaving,2,Loom Tier 5,Resource,Material Conversion,243
Refining Materials Tier 5,clothweavet5,1,Weaving,2,Loom Tier 5,Resource,Material Conversion,243
reagentconvertert4,tannint4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
reagentconvertert4,solventt4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
reagentconvertert4,sandpapert4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
reagentconvertert4,fluxt4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
reagentconvertert4,clothweavet4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
Refining Materials Tier 4,tannint4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
Refining Materials Tier 4,solventt4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
Refining Materials Tier 4,sandpapert4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
Refining Materials Tier 4,fluxt4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
Refining Materials Tier 4,clothweavet4,1,Weaving,1,Loom Tier 4,Resource,Material Conversion,81
reagentconvertert3,tannint3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
reagentconvertert3,solventt3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
reagentconvertert3,sandpapert3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
reagentconvertert3,fluxt3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
reagentconvertert3,clothweavet3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
Refining Materials Tier 3,tannint3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
Refining Materials Tier 3,solventt3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
Refining Materials Tier 3,sandpapert3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
Refining Materials Tier 3,fluxt3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
Refining Materials Tier 3,clothweavet3,1,Weaving,0,Loom Tier 3,Resource,Material Conversion,27
solventt5,woodstaint5,2,Furnishing,3,Workshop Tier 5,Resource,Crafting Components,1458
oilt1,woodstaint5,1,Furnishing,3,Workshop Tier 5,Resource,Crafting Components,3
oilt1,woodstaint4,1,Furnishing,2,Workshop Tier 4,Resource,Crafting Components,3
oilt1,woodstaint3,1,Furnishing,1,Workshop Tier 3,Resource,Crafting Components,3
oilt1,coatinglostt5,1,Arcana,0,Arcane Repository Tier 5,Consumable,Concoctions,3
oilt1,coatinglostt4,1,Arcana,0,Arcane Repository Tier 4,Consumable,Concoctions,3
oilt1,coatinglostt3,1,Arcana,0,Arcane Repository Tier 3,Consumable,Concoctions,3
oilt1,coatinglostt2,1,Arcana,0,Arcane Repository Tier 2,Consumable,Concoctions,3
oilt1,coatingcorruptedt5,1,Arcana,0,Arcane Repository Tier 5,Consumable,Concoctions,3
oilt1,coatingcorruptedt4,1,Arcana,0,Arcane Repository Tier 4,Consumable,Concoctions,3
oilt1,coatingcorruptedt3,1,Arcana,0,Arcane Repository Tier 3,Consumable,Concoctions,3
oilt1,coatingcorruptedt2,1,Arcana,0,Arcane Repository Tier 2,Consumable,Concoctions,3
oilt1,coatingbeastt5,1,Arcana,0,Arcane Repository Tier 5,Consumable,Concoctions,3
