ID,Label,Rarity,Value
workorder_workrationst5,Hearty Worker Rations,5,243
workorder_workrationst4,Large Worker Rations,4,81
workorder_workrationst3,Small Worker Rations,3,27
workorder_workrationst2,Basic Worker Rations,2,9
reagentconvertert5,Masterwork Material Converter,5,243
Refining Materials Tier 5,Refining Materials Tier 5,5,243
reagentconvertert4,Advanced Material Converter,4,81
Refining Materials Tier 4,Refining Materials Tier 4,4,81
reagentconvertert3,Common Material Converter,3,27
Refining Materials Tier 3,Refining Materials Tier 3,3,27
solventt5,Pure Solvent,2,729
oilt1,Oil,1,3
solventt4,Potent Solvent,1,162
solventt3,Weak Solvent,0,54
charcoalt1,Charcoal,1,3
repair_t1,repair_t1,1,3
Any Craft Mods,Any Craft Mods,0,1
ingott51,Asmodeum,3,1821
ingott5,Orichalcum Ingot,0,336
ingotprecioust3,Platinum Ingot,0,38
ingotprecioust2,Gold Ingot,0,10
topazt2,Topaz,1,7
alchemyairt3,Air Essence,2,3
Solvent,Solvent,0,1
topazt1,Flawed Topaz,1,3
alchemyairt2,Air Wisp,1,3
topazt3,Brilliant Topaz,2,14
essenceairt1,Air Quintessence,3,6
topazt4,Pristine Topaz,3,47
timbert5,Ironwood Planks,0,336
wildwoodt1,Wildwood,1,3
barbvinet1,Barbvine,1,3
sandpapert5,Obsidian Sandpaper,2,729
woodt5,Ironwood,5,243
timbert4,Wyrdwood Planks,0,92
Sandpaper,Sandpaper,0,1
woodt4,Wyrdwood,4,81
timbert3,Lumber,0,10
woodt2,Aged Wood,2,9
timbert2,Timber,0,64
workorder_1004_0103_weapon_keen_temper,Keen Temper Work Order,0,1
1004_0103_quenchingoil,Quenching Oil,0,1
1004_0103_hiltleather,Hilt Leather,0,1
1004_0103_grindstone,Grindstone,0,1
1004_0103_captainsblade,Blade of l'Olonnois,0,1
workorder_structuralbracest5,Work Order: Orichalcum Structural Braces,5,243
workorder_structuralbracest4,Work Order: Starmetal Structural Braces,4,81
workorder_structuralbracest3,Work Order: Steel Structural Braces,3,27
workorder_structuralbracest2,Work Order: Iron Structural Braces,2,9
strintbonust3,Gold Lost Locket,1,192
transmutationcatalystt5,Grand Transmutation Catalyst,5,243
strintbonust2,Silver Lost Locket,1,30
transmutationcatalystt4,Greater Transmutation Catalyst,4,81
strintbonust1,Wooden Lost Locket,1,3
transmutationcatalystt3,Common Transmutation Catalyst,3,27
strfocbonust3,Boar Hoof,1,192
strfocbonust2,Boar Eye,1,30
strfocbonust1,Boar Blood,1,3
strdexbonust3,Wolf Claw,1,192
strdexbonust2,Wolf Paw,1,30
strdexbonust1,Wolf Blood,1,3
strconbonust3,Bear Claw,1,192
strconbonust2,Bear Paw,1,30
strconbonust1,Bear Blood,1,3
strbonust3,Starmetal Battle Medal,1,192
strbonust2,Steel Battle Medal,1,30
strbonust1,Iron Battle Medal,1,3
clotht5,Infused Silk,0,381
gunpowdert2,Gunpowder,1,9
ingott4,Starmetal Ingot,0,89
clotht4,Silk,0,137
ingott3,Steel Ingot,0,4
clotht3,Sateen,0,55
ingott2,Iron Ingot,0,58
clotht2,Linen,0,54
workorder_sewingneedlest5,Work Order: Orichalcum Sewing Needles,5,243
workorder_sewingneedlest4,Work Order: Starmetal Sewing Needles,4,81
workorder_sewingneedlest3,Work Order: Steel Sewing Needles,3,27
workorder_sewingneedlest2,Work Order: Iron Sewing Needles,2,9
Seasonings,Seasonings,0,1
Raw Meats,Raw Meats,0,1
sapphiret3,Brilliant Sapphire,2,14
essencedeatht1,Death Quintessence,3,6
sapphiret2,Sapphire,1,7
alchemydeatht3,Death Essence,2,3
sapphiret1,Flawed Sapphire,1,3
alchemydeatht2,Death Wisp,1,3
sapphiret4,Pristine Sapphire,3,47
rubyt3,Brilliant Ruby,2,14
essencefiret1,Fire Quintessence,3,6
rubyt2,Ruby,1,7
alchemyfiret3,Fire Essence,2,3
rubyt1,Flawed Ruby,1,3
alchemyfiret2,Fire Wisp,1,3
rubyt4,Pristine Ruby,3,47
breachdrop3,Corrupted Shard,2,3
factionchisel3,Starmetal Chisel,3,27
blockt4,Lodestone Brick,0,83
keypart_core,Energy Core,2,42
keymat_moss,Glowing Swamp Moss,0,1
keymat_foxfire,Firefox,0,1
keymat_shell,Fancy Shell,0,1
breachdrop2,Corrupted Fragment,1,3
factionchisel2,Steel Chisel,2,9
blockt3,Stone Brick,0,1
keypart_elementalheart,Elemental Heart,2,12
essencelifet1,Life Quintessence,3,6
essencespiritt1,Soul Quintessence,3,6
blightseeds,Blight Seeds,0,1
alchemydeatht1,Death Mote,1,3
alchemylifet1,Life Mote,1,3
alchemyspiritt1,Soul Mote,1,3
alchemywatert1,Water Mote,1,3
alchemyeartht1,Earth Mote,1,3
alchemyfiret1,Fire Mote,1,3
alchemyairt1,Air Mote,1,3
keypart_undyingheart,Undying Heart,4,58
keymat_glowingspore,Glowing Spore,0,1
keymat_edentotem,Earth Totem,0,1
keypart_eternalheart,Eternal Heart,2,9
keymat_greatcleaverune,Corrupted Rune,0,1
keymat_shatteredrune,Molten Rune,0,1
breachdrop5,Corrupted Lodestone,4,18
factionchisel5,Asmodeum Chisel,5,243
blockt51,Runestone,3,1629
keypart_corelazarus,Lazarus Core,4,264
keypart_coregenesis,Genesis Core,4,50
breachdrop4,Corrupted Crystal,3,6
factionchisel4,Orichalcum Chisel,4,81
blockt5,Obsidian Voidstone,0,168
breachdrop1,Corrupted Sliver,1,3
factionchisel1,Iron Chisel,1,3
blockt2,Stone Block,0,55
azothwatert1,Azoth Water,1,3
alchemyspiritt3,Soul Essence,2,3
watert1,Water,1,3
alchemyspiritt2,Soul Wisp,1,3
Tier 5 Metals,Tier 5 Metals,5,243
Refined Wood,Refined Wood,0,1
Leathers,Leathers,0,1
Tier 4 Metals,Tier 4 Metals,4,81
