Source,Target,BaseGearScore,Cooldown,RecipeLevel,SalvageRecipe,Quantity,Tradeskill,Rarity,Station,Icon,Type,Category
workorder_workrationst5,workrationst5,150.0,nan,nan,nan,1,Cooking,0.0,Kitchen Tier 5,WorkRationsT5,recipe,Work Orders
workorder_workrationst4,workrationst4,100.0,nan,nan,nan,1,Cooking,0.0,Kitchen Tier 4,WorkRationsT4,recipe,Work Orders
workorder_workrationst3,workrationst3,50.0,nan,nan,nan,1,Cooking,0.0,Kitchen Tier 3,WorkRationsT3,recipe,Work Orders
workorder_workrationst2,workrationst2,0.0,nan,nan,nan,1,Cooking,0.0,Kitchen Tier 2,WorkRationsT2,recipe,Work Orders
reagentconvertert5,tannint5,150.0,nan,nan,nan,1,Weaving,2.0,Loom Tier 5,TanninT5,recipe,Material Conversion
clothweavet5,Refining Materials Tier 5,0,Item Category,0,Item Category,1,Item Category,2,Item Category,icons/items/drawing/refiningreagents,category,Item Category
solventt5,Refining Materials Tier 5,0,Item Category,0,Item Category,1,Item Category,2,Item Category,icons/items/drawing/refiningreagents,category,Item Category
sandpapert5,Refining Materials Tier 5,0,Item Category,0,Item Category,1,Item Category,2,Item Category,icons/items/drawing/refiningreagents,category,Item Category
fluxt5,Refining Materials Tier 5,0,Item Category,0,Item Category,1,Item Category,2,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 5,tannint5,150.0,nan,nan,nan,20,Weaving,2.0,Loom Tier 5,TanninT5,recipe,Material Conversion
reagentconvertert4,tannint4,100.0,nan,nan,nan,1,Weaving,1.0,Loom Tier 4,TanninT4,recipe,Material Conversion
clothweavet4,Refining Materials Tier 4,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/refiningreagents,category,Item Category
solventt4,Refining Materials Tier 4,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/refiningreagents,category,Item Category
sandpapert4,Refining Materials Tier 4,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/refiningreagents,category,Item Category
fluxt4,Refining Materials Tier 4,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 4,tannint4,100.0,nan,nan,nan,20,Weaving,1.0,Loom Tier 4,TanninT4,recipe,Material Conversion
reagentconvertert3,tannint3,50.0,nan,nan,nan,1,Weaving,0.0,Loom Tier 3,TanninT3,recipe,Material Conversion
clothweavet3,Refining Materials Tier 3,0,Item Category,0,Item Category,1,Item Category,0,Item Category,icons/items/drawing/refiningreagents,category,Item Category
solventt3,Refining Materials Tier 3,0,Item Category,0,Item Category,1,Item Category,0,Item Category,icons/items/drawing/refiningreagents,category,Item Category
sandpapert3,Refining Materials Tier 3,0,Item Category,0,Item Category,1,Item Category,0,Item Category,icons/items/drawing/refiningreagents,category,Item Category
fluxt3,Refining Materials Tier 3,0,Item Category,0,Item Category,1,Item Category,0,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 3,tannint3,50.0,nan,nan,nan,20,Weaving,0.0,Loom Tier 3,TanninT3,recipe,Material Conversion
reagentconvertert5,solventt5,150.0,nan,nan,nan,1,Weaving,2.0,Loom Tier 5,SolventT5,recipe,Material Conversion
tannint5,Refining Materials Tier 5,0,Item Category,0,Item Category,1,Item Category,2,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 5,solventt5,150.0,nan,nan,nan,20,Weaving,2.0,Loom Tier 5,SolventT5,recipe,Material Conversion
reagentconvertert4,solventt4,100.0,nan,nan,nan,1,Weaving,1.0,Loom Tier 4,SolventT4,recipe,Material Conversion
tannint4,Refining Materials Tier 4,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 4,solventt4,100.0,nan,nan,nan,20,Weaving,1.0,Loom Tier 4,SolventT4,recipe,Material Conversion
reagentconvertert3,solventt3,50.0,nan,nan,nan,1,Weaving,0.0,Loom Tier 3,SolventT3,recipe,Material Conversion
tannint3,Refining Materials Tier 3,0,Item Category,0,Item Category,1,Item Category,0,Item Category,icons/items/drawing/refiningreagents,category,Item Category
Refining Materials Tier 3,solventt3,50.0,nan,nan,nan,20,Weaving,0.0,Loom Tier 3,SolventT3,recipe,Material Conversion
reagentconvertert5,sandpapert5,150.0,nan,nan,nan,1,Weaving,2.0,Loom Tier 5,SandpaperT5,recipe,Material Conversion
Refining Materials Tier 5,sandpapert5,150.0,nan,nan,nan,20,Weaving,2.0,Loom Tier 5,SandpaperT5,recipe,Material Conversion
reagentconvertert4,sandpapert4,100.0,nan,nan,nan,1,Weaving,1.0,Loom Tier 4,SandpaperT4,recipe,Material Conversion
Refining Materials Tier 4,sandpapert4,100.0,nan,nan,nan,20,Weaving,1.0,Loom Tier 4,SandpaperT4,recipe,Material Conversion
reagentconvertert3,sandpapert3,50.0,nan,nan,nan,1,Weaving,0.0,Loom Tier 3,SandpaperT3,recipe,Material Conversion
Refining Materials Tier 3,sandpapert3,50.0,nan,nan,nan,20,Weaving,0.0,Loom Tier 3,SandpaperT3,recipe,Material Conversion
reagentconvertert5,fluxt5,150.0,nan,nan,nan,1,Weaving,2.0,Loom Tier 5,FluxT5,recipe,Material Conversion
Refining Materials Tier 5,fluxt5,150.0,nan,nan,nan,20,Weaving,2.0,Loom Tier 5,FluxT5,recipe,Material Conversion
reagentconvertert4,fluxt4,100.0,nan,nan,nan,1,Weaving,1.0,Loom Tier 4,FluxT4,recipe,Material Conversion
Refining Materials Tier 4,fluxt4,100.0,nan,nan,nan,20,Weaving,1.0,Loom Tier 4,FluxT4,recipe,Material Conversion
reagentconvertert3,fluxt3,50.0,nan,nan,nan,1,Weaving,0.0,Loom Tier 3,FluxT3,recipe,Material Conversion
Refining Materials Tier 3,fluxt3,50.0,nan,nan,nan,20,Weaving,0.0,Loom Tier 3,FluxT3,recipe,Material Conversion
reagentconvertert5,clothweavet5,150.0,nan,nan,nan,1,Weaving,2.0,Loom Tier 5,ClothWeaveT5,recipe,Material Conversion
