ID,Label,Rarity,ItemType,Icon
workorder_workrationst5,Hearty Worker Rations,0,Resource,ClaimCharterT1
workrationst5,Premium Worker's Rations,0,Resource,WorkRationsT5
workorder_workrationst4,Large Worker Rations,0,Resource,ClaimCharterT1
workrationst4,Hearty Worker's Rations,0,Resource,WorkRationsT4
workorder_workrationst3,Small Worker Rations,0,Resource,ClaimCharterT1
workrationst3,Satisfying Worker's Rations,0,Resource,WorkRationsT3
workorder_workrationst2,Basic Worker Rations,0,Resource,ClaimCharterT1
workrationst2,Basic Worker's Rations,0,Resource,WorkRationsT2
reagentconvertert5,Masterwork Material Converter,2,Resource,ArcaneReactorT5
clothweavet5,Wireweave,2,Resource,ClothWeaveT5
solventt5,Pure Solvent,2,Resource,SolventT5
sandpapert5,Obsidian Sandpaper,2,Resource,SandpaperT5
fluxt5,Obsidian Flux,2,Resource,FluxT5
Refining Materials Tier 5,Refining Materials Tier 5,2,Item Category,icons/items/drawing/refiningreagents
tannint5,Aged Tannin,2,Resource,TanninT5
reagentconvertert4,Advanced Material Converter,1,Resource,ArcaneReactorT4
clothweavet4,Silkweave,1,Resource,SilkWeaveT4
solventt4,Potent Solvent,1,Resource,SolventT4
sandpapert4,Fine Sandpaper,1,Resource,SandpaperT4
fluxt4,Shelldust Flux,1,Resource,FluxT4
Refining Materials Tier 4,Refining Materials Tier 4,1,Item Category,icons/items/drawing/refiningreagents
tannint4,Rested Tannin,1,Resource,TanninT4
reagentconvertert3,Common Material Converter,0,Resource,ArcaneReactorT3
clothweavet3,Crossweave,0,Resource,ClothWeaveT3
solventt3,Weak Solvent,0,Resource,SolventT3
sandpapert3,Coarse Sandpaper,0,Resource,SandpaperT3
fluxt3,Sand Flux,0,Resource,FluxT3
Refining Materials Tier 3,Refining Materials Tier 3,0,Item Category,icons/items/drawing/refiningreagents
tannint3,Tannin,0,Resource,TanninT3
oilt1,Oil,0,Resource,OilT1
woodstaint5,Mahogany Stain,3,Resource,WoodStainT5
woodstaint4,Oak Stain,2,Resource,WoodStainT4
woodstaint3,Maple Stain,1,Resource,WoodStainT3
charcoalt1,Charcoal,0,Resource,CharcoalT1
woodstaint2,Ash Stain,0,Resource,WoodStainT2
repair_t1,repair_t1,-1,currency,None
icegauntletcharmt4,Reinforced Steel Ice Gauntlet Charm,1,Resource,IceGauntletCharmT4
icegauntletcharmt3,Orichalcum Ice Gauntlet Charm,1,Resource,IceGauntletCharmT3
icegauntletcharmt2,Starmetal Ice Gauntlet Charm,1,Resource,IceGauntletCharmT2
icegauntletcharmt1,Steel Ice Gauntlet Charm,1,Resource,IceGauntletCharmT1
spearcharmt6,Reinforced Orichalcum Spear Charm,1,Resource,LifeStaffCharmT3
spearcharmt5,Reinforced Starmetal Spear Charm,1,Resource,LifeStaffCharmT2
spearcharmt4,Reinforced Steel Spear Charm,1,Resource,LifeStaffCharmT1
spearcharmt3,Orichalcum Spear Charm,1,Resource,LifeStaffCharmT3
spearcharmt2,Starmetal Spear Charm,1,Resource,LifeStaffCharmT2
spearcharmt1,Steel Spear Charm,1,Resource,LifeStaffCharmT1
rapiercharmt6,Reinforced Orichalcum Rapier Charm,1,Resource,SwordCharmT3
rapiercharmt5,Reinforced Starmetal Rapier Charm,1,Resource,SwordCharmT2
rapiercharmt4,Reinforced Steel Rapier Charm,1,Resource,SwordCharmT1
rapiercharmt3,Orichalcum Rapier Charm,1,Resource,SwordCharmT3
rapiercharmt2,Starmetal Rapier Charm,1,Resource,SwordCharmT2
rapiercharmt1,Steel Rapier Charm,1,Resource,SwordCharmT1
firestaffcharmt6,Reinforced Orichalcum Fire Staff Charm,1,Resource,FireStaffCharmT3
firestaffcharmt5,Reinforced Starmetal Fire Staff Charm,1,Resource,FireStaffCharmT2
firestaffcharmt4,Reinforced Steel Fire Staff Charm,1,Resource,FireStaffCharmT1
firestaffcharmt3,Orichalcum Fire Staff Charm,1,Resource,FireStaffCharmT3
firestaffcharmt2,Starmetal Fire Staff Charm,1,Resource,FireStaffCharmT2
firestaffcharmt1,Steel Fire Staff Charm,1,Resource,FireStaffCharmT1
lifestaffcharmt6,Reinforced Orichalcum Life Staff Charm,1,Resource,LifeStaffCharmT3
lifestaffcharmt5,Reinforced Starmetal Life Staff Charm,1,Resource,LifeStaffCharmT2
lifestaffcharmt4,Reinforced Steel Life Staff Charm,1,Resource,LifeStaffCharmT1
lifestaffcharmt3,Orichalcum Life Staff Charm,1,Resource,LifeStaffCharmT3
lifestaffcharmt2,Starmetal Life Staff Charm,1,Resource,LifeStaffCharmT2
lifestaffcharmt1,Steel Life Staff Charm,1,Resource,LifeStaffCharmT1
musketcharmt6,Reinforced Orichalcum Musket Charm,1,Resource,MusketCharmT3
musketcharmt5,Reinforced Starmetal Musket Charm,1,Resource,MusketCharmT2
musketcharmt4,Reinforced Steel Musket Charm,1,Resource,MusketCharmT1
musketcharmt3,Orichalcum Musket Charm,1,Resource,MusketCharmT3
musketcharmt2,Starmetal Musket Charm,1,Resource,MusketCharmT2
musketcharmt1,Steel Musket Charm,1,Resource,MusketCharmT1
bowcharmt6,Reinforced Orichalcum Bow Charm,1,Resource,BowCharmT3
bowcharmt5,Reinforced Starmetal Bow Charm,1,Resource,BowCharmT2
bowcharmt4,Reinforced Steel Bow Charm,1,Resource,BowCharmT1
bowcharmt3,Orichalcum Bow Charm,1,Resource,BowCharmT3
bowcharmt2,Starmetal Bow Charm,1,Resource,BowCharmT2
bowcharmt1,Steel Bow Charm,1,Resource,BowCharmT1
2haxecharmt6,Reinforced Orichalcum Great Axe Charm,1,Resource,2HAxeCharmT3
2haxecharmt5,Reinforced Starmetal Great Axe Charm,1,Resource,2HAxeCharmT2
2haxecharmt4,Reinforced Steel Great Axe Charm,1,Resource,2HAxeCharmT1
2haxecharmt3,Orichalcum Great Axe Charm,1,Resource,2HAxeCharmT3
2haxecharmt2,Starmetal Great Axe Charm,1,Resource,2HAxeCharmT2
2haxecharmt1,Steel Great Axe Charm,1,Resource,2HAxeCharmT1
2hhammercharmt6,Reinforced Orichalcum War Hammer Charm,1,Resource,2HHammerCharmT3
2hhammercharmt5,Reinforced Starmetal War Hammer Charm,1,Resource,2HHammerCharmT2
2hhammercharmt4,Reinforced Steel War Hammer Charm,1,Resource,2HHammerCharmT1
2hhammercharmt3,Orichalcum War Hammer Charm,1,Resource,2HHammerCharmT3
2hhammercharmt2,Starmetal War Hammer Charm,1,Resource,2HHammerCharmT2
2hhammercharmt1,Steel War Hammer Charm,1,Resource,2HHammerCharmT1
hatchetcharmt6,Reinforced Orichalcum Hatchet Charm,1,Resource,HatchetCharmT3
hatchetcharmt5,Reinforced Starmetal Hatchet Charm,1,Resource,HatchetCharmT2
